username,thumbnail,nfollowers,subfolder
meleeman777,https://static-cdn.jtvnw.net/jtv_user_pictures/meleeman777-profile_image-12d8c7b141c8d2f7-300x300.jpeg,"53,072 followers",/channel/meleeman777
superjj102,https://static-cdn.jtvnw.net/jtv_user_pictures/superjj102-profile_image-53fd38b9fdf601d8-300x300.jpeg,"53,035 followers",/channel/superjj102
Jirayalecochon,https://static-cdn.jtvnw.net/jtv_user_pictures/jirayalecochon-profile_image-22c60321fd37e563-300x300.png,"53,035 followers",/channel/jirayalecochon
Talentmx,https://static-cdn.jtvnw.net/jtv_user_pictures/talentmx-profile_image-9472104e505136a4-300x300.jpeg,"52,990 followers",/channel/talentmx
Flamehopper,https://static-cdn.jtvnw.net/jtv_user_pictures/flamehopper-profile_image-fa5029d206e5df61-300x300.png,"52,959 followers",/channel/flamehopper
慕容公子,https://static-cdn.jtvnw.net/jtv_user_pictures/yagamileong-profile_image-ed3e9d5a4d1e1682-300x300.jpeg,"52,954 followers",/channel/yagamileong
ROOTCatZ,https://static-cdn.jtvnw.net/jtv_user_pictures/rootcatz-profile_image-364f26660ea6d286-300x300.png,"52,850 followers",/channel/rootcatz
SGK7gaming,https://static-cdn.jtvnw.net/jtv_user_pictures/sgk7gaming-profile_image-9e2fdf67b751d51a-300x300.jpeg,"52,845 followers",/channel/sgk7gaming
Suntouch,https://static-cdn.jtvnw.net/jtv_user_pictures/suntouch-profile_image-aaefce84386f2ef2-300x300.png,"55,544 followers",/channel/suntouch
b4nny,https://static-cdn.jtvnw.net/jtv_user_pictures/b4nny-profile_image-88f62bdd3b608820-300x300.png,"55,521 followers",/channel/b4nny
orkpod,https://static-cdn.jtvnw.net/jtv_user_pictures/orkpod-profile_image-7bfb98cc5a26baa3-300x300.png,"55,488 followers",/channel/orkpod
TenSterakdary,https://static-cdn.jtvnw.net/jtv_user_pictures/tensterakdary-profile_image-d529d2b65056b620-300x300.jpeg,"55,477 followers",/channel/tensterakdary
Polt,https://static-cdn.jtvnw.net/jtv_user_pictures/polt-profile_image-cc4c29fed0a3f3fc-300x300.jpeg,"55,468 followers",/channel/polt
Nocturnal,https://static-cdn.jtvnw.net/jtv_user_pictures/nocturnal-profile_image-092d32a83cff1a10-300x300.png,"55,454 followers",/channel/nocturnal
Pikabooirl,https://static-cdn.jtvnw.net/jtv_user_pictures/pikabooirl-profile_image-05cde7918d476f0b-300x300.jpeg,"55,435 followers",/channel/pikabooirl
bONNIEivse,https://static-cdn.jtvnw.net/jtv_user_pictures/bonnieivse-profile_image-7ef7bc8aae54fb8a-300x300.jpeg,"55,382 followers",/channel/bonnieivse
Vuxxy,https://static-cdn.jtvnw.net/jtv_user_pictures/vuxxy-profile_image-ee7153fcf4bbcf0b-300x300.png,"55,308 followers",/channel/vuxxy
Armor_tv,https://static-cdn.jtvnw.net/jtv_user_pictures/armor_tv-profile_image-3622c70c5c8e08c6-300x300.png,"55,293 followers",/channel/armor_tv
cookeeeemonster,https://static-cdn.jtvnw.net/jtv_user_pictures/cookeeeemonster-profile_image-2a94d16bc6fcc1e5-300x300.png,"55,193 followers",/channel/cookeeeemonster
anything4views,https://static-cdn.jtvnw.net/jtv_user_pictures/anything4views-profile_image-8dd1f371ef94e757-300x300.png,"55,178 followers",/channel/anything4views
Akademiks,https://static-cdn.jtvnw.net/jtv_user_pictures/akademiks-profile_image-c410b74e71f4a0d7-300x300.png,"55,147 followers",/channel/akademiks
NastjaNastja,https://static-cdn.jtvnw.net/jtv_user_pictures/nastjanastja-profile_image-a736c30d8084c497-300x300.png,"55,063 followers",/channel/nastjanastja
fuslie,https://static-cdn.jtvnw.net/jtv_user_pictures/fuslie-profile_image-4a8c32bac7856162-300x300.jpeg,"55,056 followers",/channel/fuslie
ESL_lol_es,https://static-cdn.jtvnw.net/jtv_user_pictures/esl_lol_es-profile_image-f2590dcb5957b519-300x300.jpeg,"54,945 followers",/channel/esl_lol_es
APlatypuss,https://static-cdn.jtvnw.net/jtv_user_pictures/aplatypuss-profile_image-54497a440901e70c-300x300.jpeg,"54,890 followers",/channel/aplatypuss
kaitlyn,https://static-cdn.jtvnw.net/jtv_user_pictures/kaitlyn-profile_image-a6b4336ede1667bd-300x300.png,"54,884 followers",/channel/kaitlyn
Widgitybear,https://static-cdn.jtvnw.net/jtv_user_pictures/widgitybear-profile_image-ae34d6fdfb82c56c-300x300.png,"54,870 followers",/channel/widgitybear
shenryyr,https://static-cdn.jtvnw.net/jtv_user_pictures/shenryyr-profile_image-1f6f922bf3cf3340-300x300.png,"54,848 followers",/channel/shenryyr
서유리,https://static-cdn.jtvnw.net/jtv_user_pictures/yuriseo-profile_image-13c2f85017348751-300x300.png,"54,679 followers",/channel/yuriseo
Gawiji,https://static-cdn.jtvnw.net/jtv_user_pictures/gawiji-profile_image-e1bfd6afae362b1f-300x300.jpeg,"54,576 followers",/channel/gawiji
MrFifaSA,https://static-cdn.jtvnw.net/jtv_user_pictures/mrfifasa-profile_image-fc526f20ca684e8c-300x300.png,"54,530 followers",/channel/mrfifasa
Valon22,https://static-cdn.jtvnw.net/jtv_user_pictures/valon22-profile_image-ed9845ed0c279799-300x300.jpeg,"54,503 followers",/channel/valon22
Mithrain,https://static-cdn.jtvnw.net/jtv_user_pictures/mithrain-profile_image-8189b323189ae5b5-300x300.png,"54,475 followers",/channel/mithrain
쥬팬더,https://static-cdn.jtvnw.net/jtv_user_pictures/sung0-profile_image-8553642b634742e1-300x300.png,"54,429 followers",/channel/sung0
ABFnggshka,https://static-cdn.jtvnw.net/jtv_user_pictures/abfnggshka-profile_image-704153368f9eaea7-300x300.jpeg,"54,420 followers",/channel/abfnggshka
PhantomSFX,https://static-cdn.jtvnw.net/jtv_user_pictures/phantomsfx-profile_image-5a297e774bf064f4-300x300.png,"54,351 followers",/channel/phantomsfx
Nestle01,https://static-cdn.jtvnw.net/jtv_user_pictures/nestle01-profile_image-6c36c9c5ef2b06b7-300x300.png,"54,320 followers",/channel/nestle01
radpuppy,https://static-cdn.jtvnw.net/jtv_user_pictures/radpuppy-profile_image-c743d5f08497c450-300x300.jpeg,"54,258 followers",/channel/radpuppy
WePlayWoT,https://static-cdn.jtvnw.net/jtv_user_pictures/weplaywot-profile_image-34722f51a8e7c42a-300x300.png,"56,607 followers",/channel/weplaywot
PrincessChu,https://static-cdn.jtvnw.net/jtv_user_pictures/princesschu-profile_image-50b889399f99db23-300x300.jpeg,"56,572 followers",/channel/princesschu
Caju_sz,https://static-cdn.jtvnw.net/jtv_user_pictures/caju_sz-profile_image-25f2722db01f2045-300x300.jpeg,"56,501 followers",/channel/caju_sz
Jazzzy,https://static-cdn.jtvnw.net/jtv_user_pictures/jazzzy-profile_image-26c0837d27f954c1-300x300.jpeg,"56,477 followers",/channel/jazzzy
Grimnax,https://static-cdn.jtvnw.net/jtv_user_pictures/grimnax-profile_image-ad1e9c330a8adb15-300x300.jpeg,"56,419 followers",/channel/grimnax
